gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2608288905	464	99.8	1	464	1	464	0.0e+00	916	KO:K02313	chromosomal replication initiator protein		Yes
2608288906	408	100	1	408	1	408	0.0e+00	840.5	KO:K00799	glutathione S-transferase [EC:2.5.1.18]	EC:2.5.1.18	Yes
2608288907	459	99.8	1	459	1	459	0.0e+00	898.7	KO:K00383	glutathione reductase (NADPH) [EC:1.8.1.7]	EC:1.8.1.7	Yes
2608288908	359	100	1	359	1	359	0.0e+00	679.5	KO:K07301	cation:H+ antiporter		Yes
2608288909	349	99.7	1	349	1	349	0.0e+00	707.6	KO:K01465	dihydroorotase [EC:3.5.2.3]	EC:3.5.2.3	Yes
2608288911	77	100	1	77	1	77	3.6e-39	161.8	KO:K05583	NAD(P)H-quinone oxidoreductase subunit L [EC:1.6.5.3]	EC:1.6.5.3	Yes
2608288913	275	100	1	275	6	280	0.0e+00	540.4	KO:K01695	tryptophan synthase alpha chain [EC:4.2.1.20]	EC:4.2.1.20	Yes
2608288915	104	84.6	1	104	1	104	0.0e+00	193	KO:K09780	hypothetical protein		Yes
2608288919	219	100	1	219	1	219	0.0e+00	448.4	KO:K11755	phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase [EC:3.6.1.31 3.5.4.19]	EC:3.5.4.19	Yes
2608288919	219	100	1	219	1	219	0.0e+00	448.4	KO:K11755	phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase [EC:3.6.1.31 3.5.4.19]	EC:3.6.1.31	Yes
2608288920	156	95.5	1	156	1	156	0.0e+00	329.7	KO:K01737	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	EC:4.1.2.50	Yes
2608288920	156	95.5	1	156	1	156	0.0e+00	329.7	KO:K01737	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	EC:4.2.3.12	Yes
2608288921	860	100	1	860	1	860	0.0e+00	1661.4	KO:K03695	ATP-dependent Clp protease ATP-binding subunit ClpB		Yes
2608288922	116	100	1	116	1	116	0.0e+00	235	KO:K02638	plastocyanin		Yes
2608288924	346	100	1	346	1	346	0.0e+00	694.1	KO:K01599	uroporphyrinogen decarboxylase [EC:4.1.1.37]	EC:4.1.1.37	Yes
2608288925	754	100	1	754	1	754	0.0e+00	1631.7	KO:K00700	1,4-alpha-glucan branching enzyme [EC:2.4.1.18]	EC:2.4.1.18	Yes
2608288926	526	100	1	526	1	526	0.0e+00	1100.9	KO:K06978			Yes
2608288931	436	100	1	436	1	436	0.0e+00	850.1	KO:K00147	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	EC:1.2.1.41	Yes
2608288932	120	100	1	120	1	120	0.0e+00	241.5	KO:K01633	dihydroneopterin aldolase [EC:4.1.2.25]	EC:4.1.2.25	Yes
2608288933	197	99.5	1	197	1	197	0.0e+00	397.1	KO:K01046	triacylglycerol lipase [EC:3.1.1.3]	EC:3.1.1.3	Yes
2608288934	695	100	1	695	1	695	0.0e+00	1404	KO:K01414	oligopeptidase A [EC:3.4.24.70]	EC:3.4.24.70	Yes
2608288935	512	100	1	512	1	512	0.0e+00	979.5	KO:K05575	NAD(P)H-quinone oxidoreductase subunit 4 [EC:1.6.5.3]	EC:1.6.5.3	Yes
2608288936	315	100	1	315	1	315	0.0e+00	624	KO:K00872	homoserine kinase [EC:2.7.1.39]	EC:2.7.1.39	Yes
2608288937	345	100	1	345	1	345	0.0e+00	701.4	KO:K00845	glucokinase [EC:2.7.1.2]	EC:2.7.1.2	Yes
2608288938	638	100	1	638	1	638	0.0e+00	1291.6	KO:K01868	threonyl-tRNA synthetase [EC:6.1.1.3]	EC:6.1.1.3	Yes
2608288939	338	100	1	338	1	338	0.0e+00	677.6	KO:K01867	tryptophanyl-tRNA synthetase [EC:6.1.1.2]	EC:6.1.1.2	Yes
2608288942	302	100	1	302	1	302	0.0e+00	606.3	KO:K11601	manganese transport system substrate-binding protein		Yes
