gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
2608288905	464	5	68	3	64	1.0e-18	66.6	pfam11638	DnaA_N	65
2608288905	464	125	343	2	217	1.1e-87	293.3	pfam00308	Bac_DnaA	219
2608288905	464	366	435	1	70	7.9e-24	83.3	pfam08299	Bac_DnaA_C	70
2608288906	408	45	125	4	72	6.7e-19	67.8	pfam13417	GST_N_3	75
2608288907	459	11	318	1	198	5.0e-35	121.2	pfam07992	Pyr_redox_2	201
2608288907	459	180	259	1	70	5.5e-18	65.1	pfam00070	Pyr_redox	80
2608288907	459	347	458	1	109	8.7e-33	112.6	pfam02852	Pyr_redox_dim	110
2608288908	359	16	146	3	137	8.1e-21	74	pfam01699	Na_Ca_ex	140
2608288908	359	186	319	2	138	1.8e-32	111.8	pfam01699	Na_Ca_ex	140
2608288909	349	1	322	6	295	8.7e-19	68.3	pfam01979	Amidohydro_1	333
2608288911	77	1	76	10	80	1.4e-28	98.4	pfam10716	NdhL	82
2608288912	112	7	110	2	104	6.5e-38	128.9	pfam11460	DUF3007	104
2608288913	275	16	272	2	254	2.8e-94	314.4	pfam00290	Trp_syntA	259
2608288914	118	43	113	1	70	4.4e-30	103.4	pfam14250	AbrB-like	71
2608288915	104	17	101	2	94	1.9e-08	34.4	pfam03795	YCII	95
2608288917	122	56	95	2	40	4.5e-14	51.6	pfam06803	DUF1232	40
2608288918	307	2	36	3	34	4.6e-06	26.2	pfam00140	Sigma70_r1_2	37
2608288918	307	69	139	1	71	1.2e-22	79.3	pfam04542	Sigma70_r2	71
2608288918	307	148	231	1	65	8.4e-09	35.2	pfam04539	Sigma70_r3	78
2608288918	307	243	295	4	50	2.6e-12	45.8	pfam04545	Sigma70_r4	50
2608288919	219	34	109	1	74	3.0e-34	116.4	pfam01502	PRA-CH	75
2608288919	219	130	217	6	82	1.4e-11	44.5	pfam01503	PRA-PH	83
2608288920	156	9	149	4	121	2.0e-26	92	pfam01242	PTPS	123
2608288921	860	19	70	1	53	2.3e-07	30.6	pfam02861	Clp_N	53
2608288921	860	200	337	2	126	4.4e-15	56	pfam00004	AAA	132
2608288921	860	599	764	1	171	1.4e-49	168.2	pfam07724	AAA_2	171
2608288921	860	770	850	1	80	3.0e-21	75.1	pfam10431	ClpB_D2-small	81
2608288922	116	28	116	1	99	1.8e-22	79.4	pfam00127	Copper-bind	99
2608288923	327	6	236	2	232	2.8e-14	53.1	pfam01370	Epimerase	236
2608288924	346	4	344	5	341	5.6e-114	380.6	pfam01208	URO-D	343
2608288925	754	125	207	1	84	7.7e-20	70.7	pfam02922	CBM_48	85
2608288925	754	293	384	7	81	1.3e-13	51	pfam00128	Alpha-amylase	316
2608288925	754	652	753	1	94	1.0e-22	80	pfam02806	Alpha-amylase_C	96
2608288926	526	15	272	1	272	2.4e-54	184.5	pfam02129	Peptidase_S15	272
2608288926	526	300	510	72	201	4.3e-13	49.6	pfam08530	PepX_C	218
2608288928	131	11	131	2	122	2.1e-25	89	pfam14229	DUF4332	122
2608288929	147	1	143	1	145	2.4e-53	179.5	pfam10726	DUF2518	145
2608288930	1383	963	1383	45	379	1.2e-36	126.6	pfam04357	DUF490	379
2608288931	436	3	311	44	296	2.3e-11	42.6	pfam00171	Aldedh	462
2608288932	120	5	115	1	109	2.8e-22	78.9	pfam02152	FolB	113
2608288933	197	7	179	1	125	2.1e-07	31	pfam12697	Abhydrolase_6	228
2608288934	695	234	691	1	457	0.0e+00	481.5	pfam01432	Peptidase_M3	458
2608288935	512	12	136	41	90	1.6e-04	21.5	pfam01059	Oxidored_q5_N	110
2608288935	512	136	408	1	268	9.7e-70	234.8	pfam00361	Oxidored_q1	270
2608288936	315	89	150	4	67	3.4e-12	46.2	pfam00288	GHMP_kinases_N	67
2608288936	315	212	290	24	83	6.0e-08	32.7	pfam08544	GHMP_kinases_C	85
2608288937	345	4	341	1	314	1.9e-93	312.7	pfam02685	Glucokinase	316
2608288938	638	2	61	3	60	1.5e-08	34.3	pfam02824	TGS	60
2608288938	638	169	218	1	44	1.0e-13	50.8	pfam07973	tRNA_SAD	44
2608288938	638	272	440	3	166	3.7e-46	156.8	pfam00587	tRNA-synt_2b	173
2608288938	638	540	629	4	78	2.3e-11	43.4	pfam03129	HGTP_anticodon	94
2608288939	338	1	289	5	291	1.8e-80	270.1	pfam00579	tRNA-synt_1b	292
2608288941	444	259	420	4	160	1.4e-34	118.9	pfam05128	DUF697	162
2608288942	302	36	301	1	256	2.4e-55	187.5	pfam01297	TroA	256
2608288943	254	26	174	3	136	1.5e-28	99.7	pfam00005	ABC_tran	137
2608288944	291	18	274	2	257	2.1e-85	286.1	pfam00950	ABC-3	258
2608288945	388	33	353	1	283	8.1e-107	356.6	pfam14234	DUF4336	285
2608288946	111	18	102	1	86	4.9e-30	103.5	pfam05542	DUF760	86
2608288947	194	37	119	1	68	3.9e-12	45.6	pfam00717	Peptidase_S24	70
2608288948	587	13	183	7	162	7.3e-19	67.8	pfam02776	TPP_enzyme_N	172
2608288948	587	427	566	21	153	3.4e-06	26.7	pfam02775	TPP_enzyme_C	153
2608288949	285	24	273	5	245	2.4e-56	190.6	pfam00378	ECH	245
2608288950	483	2	216	1	244	3.6e-62	210	pfam08323	Glyco_transf_5	245
2608288950	483	263	418	12	143	2.3e-14	53.1	pfam00534	Glycos_transf_1	172
2608288951	457	27	103	3	81	2.9e-11	43.2	pfam01225	Mur_ligase	83
2608288951	457	113	303	1	188	2.3e-33	115.8	pfam08245	Mur_ligase_M	188
2608288951	457	321	424	4	79	9.2e-08	32	pfam02875	Mur_ligase_C	91
2608288952	449	4	174	2	129	6.5e-23	81.5	pfam12804	NTP_transf_3	160
2608288952	449	261	310	2	35	7.6e-06	25.2	pfam00132	Hexapep	36
2608288952	449	312	347	2	36	4.7e-04	19.5	pfam00132	Hexapep	36
2608288952	449	389	424	2	34	8.8e-07	28.3	pfam14602	Hexapep_2	34
2608288953	301	98	223	12	114	3.2e-25	88.2	pfam05430	Methyltransf_30	124
2608288954	436	7	431	2	419	6.5e-116	387.1	pfam00275	EPSP_synthase	419
2608288955	222	1	222	19	232	1.6e-76	256.3	pfam04029	2-ph_phosp	234
2608288956	270	1	177	2	186	9.3e-27	93.5	pfam00795	CN_hydrolase	186
2608288957	361	32	132	11	94	2.7e-07	30.4	pfam11741	AMIN	95
2608288957	361	183	355	1	174	2.6e-52	177.1	pfam01520	Amidase_3	175
2608288958	264	5	210	1	213	2.1e-26	93.2	pfam01177	Asp_Glu_race	216
2608288959	323	32	289	2	258	2.6e-66	223.1	pfam00348	polyprenyl_synt	260
2608288960	660	93	539	9	416	4.4e-93	311.9	pfam00501	AMP-binding	417
2608288960	660	547	625	1	73	2.4e-21	76.4	pfam13193	AMP-binding_C	73
2608288961	240	6	224	8	207	6.3e-41	140	pfam07082	DUF1350	250
2608288962	259	39	192	1	164	5.1e-11	43.1	pfam00929	RNase_T	164
2608288963	140	22	50	1	28	5.0e-07	28.9	pfam01744	GLTT	29
2608288963	140	52	80	3	28	6.2e-06	25.4	pfam01744	GLTT	29
2608288963	140	109	140	1	32	1.9e-17	62.5	pfam12518	DUF3721	34
2608288964	426	9	310	1	311	8.8e-47	159.6	pfam13393	tRNA-synt_His	311
2608288964	426	325	416	14	75	2.1e-07	30.7	pfam03129	HGTP_anticodon	94
2608288966	99	2	61	3	59	4.7e-17	61.9	pfam09493	DUF2389	60
2608288969	352	9	285	2	268	2.6e-63	214.1	pfam00421	PSII	437
2608288969	352	291	347	385	420	1.3e-08	33.9	pfam00421	PSII	437
