gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2608288905	464	41.83	8	453	1	407	9.0e-115	407	COG0593	Chromosomal replication initiation ATPase DnaA	408
2608288907	459	33.33	7	458	2	454	1.0e-111	396	COG1249	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component or related enzyme	454
2608288908	359	39.68	5	318	9	315	2.0e-40	159	COG0530	Ca2+/Na+ antiporter	320
2608288909	349	54.02	1	345	2	344	6.0e-129	453	COG0418	Dihydroorotase	344
2608288913	275	43.4	10	273	2	265	2.0e-85	308	COG0159	Tryptophan synthase alpha chain	265
2608288915	104	24.18	18	104	2	92	5.0e-09	52.6	COG2350	Uncharacterized conserved protein YciI, contains a putative active-site phosphohistidine	92
2608288918	307	36.42	3	305	10	339	9.0e-57	214	COG0568	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)	342
2608288919	219	46.59	131	218	2	89	1.0e-24	106	COG0140	Phosphoribosyl-ATP pyrophosphohydrolase	92
2608288919	219	53.27	5	111	4	110	1.0e-38	153	COG0139	Phosphoribosyl-AMP cyclohydrolase	111
2608288920	156	21.97	17	148	11	125	3.0e-08	51.5	COG0720	6-pyruvoyl-tetrahydropterin synthase	127
2608288921	860	47.61	8	859	2	781	0.0e+00	849	COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA	786
2608288922	116	34.82	6	116	16	127	1.0e-20	91.6	COG3794	Plastocyanin	128
2608288923	327	18.33	4	227	1	234	4.0e-13	68.8	COG0451	Nucleoside-diphosphate-sugar epimerase	314
2608288924	346	46.43	6	339	8	343	2.0e-102	365	COG0407	Uroporphyrinogen-III decarboxylase	352
2608288925	754	51.15	106	749	6	627	0.0e+00	723	COG0296	1,4-alpha-glucan branching enzyme	628
2608288926	526	25.18	3	508	16	547	4.0e-52	199	COG2936	Predicted acyl esterase	563
2608288931	436	44.1	12	422	3	417	0.0e+00	492	COG0014	Gamma-glutamyl phosphate reductase	417
2608288932	120	30.36	5	115	5	116	1.0e-16	78.7	COG1539	Dihydroneopterin aldolase	121
2608288934	695	42.35	1	693	8	683	0.0e+00	699	COG0339	Zn-dependent oligopeptidase	683
2608288935	512	45.04	4	505	1	492	5.0e-125	441	COG1008	NADH:ubiquinone oxidoreductase subunit 4 (chain M)	497
2608288936	315	43.1	7	296	1	283	3.0e-74	272	COG0083	Homoserine kinase	299
2608288937	345	29.38	2	335	7	314	4.0e-49	188	COG0837	Glucokinase	320
2608288938	638	49.67	34	634	1	583	0.0e+00	706	COG0441	Threonyl-tRNA synthetase	589
2608288939	338	47.66	1	315	2	314	1.0e-100	360	COG0180	Tryptophanyl-tRNA synthetase	314
2608288942	302	35.64	2	301	1	301	2.0e-64	239	COG0803	ABC-type Zn uptake system ZnuABC, Zn-binding component ZnuA	303
2608288943	254	42.39	11	253	5	247	8.0e-75	273	COG1121	ABC-type Mn2+/Zn2+ transport system, ATPase component	254
2608288944	291	45.22	11	281	3	274	1.0e-52	200	COG1108	ABC-type Mn2+/Zn2+ transport system, permease component	274
2608288947	194	30.49	11	171	7	155	7.0e-07	47.3	COG0681	Signal peptidase I	166
2608288948	587	28.65	16	584	14	561	1.0e-81	297	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	566
2608288949	285	63.97	15	285	14	282	7.0e-120	423	COG0447	1,4-Dihydroxy-2-naphthoyl-CoA synthase	282
2608288950	483	41.93	1	452	1	476	2.0e-130	459	COG0297	Glycogen synthase	487
2608288951	457	34.59	9	454	5	446	2.0e-86	313	COG0770	UDP-N-acetylmuramyl pentapeptide synthase	451
2608288952	449	43.42	1	449	2	457	0.0e+00	512	COG1207	Bifunctional protein GlmU, N-acetylglucosamine-1-phosphate-uridyltransferase/glucosamine-1-phosphate-acetyltransferase	460
2608288953	301	23.22	21	214	24	234	1.0e-12	67.3	COG4121	tRNA U34 5-methylaminomethyl-2-thiouridine-forming methyltransferase MnmC	252
2608288954	436	41.95	1	434	1	424	6.0e-114	404	COG0128	5-enolpyruvylshikimate-3-phosphate synthase	428
2608288955	222	43.44	1	221	20	227	7.0e-48	183	COG2045	Phosphosulfolactate phosphohydrolase or related enzyme	230
2608288956	270	37.73	1	267	5	266	1.0e-52	199	COG0388	Predicted amidohydrolase	274
2608288957	361	39.39	172	357	34	228	8.0e-46	177	COG0860	N-acetylmuramoyl-L-alanine amidase	231
2608288958	264	29.69	2	254	5	260	3.0e-49	188	COG0796	Glutamate racemase	269
2608288959	323	38.2	5	323	4	322	4.0e-67	248	COG0142	Geranylgeranyl pyrophosphate synthase	322
2608288960	660	44.01	79	646	1	528	0.0e+00	673	COG0365	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase	528
2608288962	259	20.43	29	251	6	235	3.0e-13	69.1	COG0847	DNA polymerase III, epsilon subunit or related 3'-5' exonuclease	243
2608288964	426	46.53	2	393	2	405	9.0e-123	433	COG0124	Histidyl-tRNA synthetase	429
2608288970	461	17.66	19	430	6	395	4.0e-24	106	COG0786	Na+/glutamate symporter	404
2608288972	219	23.98	5	167	2	172	1.0e-11	63.3	COG0625	Glutathione S-transferase	211
2608288974	235	22.22	1	210	5	225	4.0e-26	111	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	251
2608288975	427	20.47	8	371	5	357	7.0e-14	72.1	COG0644	Dehydrogenase (flavoprotein)	396
2608288976	333	19.11	1	224	2	189	2.0e-12	66.8	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	251
