gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2608288905	464	8	456	0.0e+00	515.8	TIGR00362	chromosomal replication initiator protein DnaA
2608288907	459	8	458	0.0e+00	506.5	TIGR01424	glutathione-disulfide reductase, plant
2608288908	359	11	320	8.6e-16	45	TIGR00378	calcium/proton exchanger (cax)
2608288908	359	4	316	1.3e-72	231.5	TIGR00367	K+-dependent Na+/Ca+ exchanger related-protein
2608288909	349	3	345	2.7e-127	410.4	TIGR00856	dihydroorotase, homodimeric type
2608288913	275	16	268	3.3e-97	310.4	TIGR00262	tryptophan synthase, alpha subunit
2608288918	307	64	297	2.9e-34	104.2	TIGR02937	RNA polymerase sigma factor, sigma-70 family
2608288919	219	130	213	3.7e-34	103.1	TIGR03188	phosphoribosyl-ATP pyrophosphohydrolase
2608288921	860	8	860	0.0e+00	1187	TIGR03346	ATP-dependent chaperone ClpB
2608288922	116	28	116	5.1e-41	125.4	TIGR02656	plastocyanin
2608288924	346	7	343	2.2e-127	410.7	TIGR01464	uroporphyrinogen decarboxylase
2608288925	754	272	749	0.0e+00	770.9	TIGR01515	alpha-1,4-glucan:alpha-1,4-glucan 6-glycosyltransferase
2608288926	526	11	508	7.8e-67	212.4	TIGR00976	putative hydrolase, CocE/NonD family
2608288931	436	21	411	0.0e+00	495.1	TIGR00407	gamma-glutamyl phosphate reductase
2608288932	120	2	120	5.7e-23	68.6	TIGR00526	FolB domain
2608288932	120	3	116	3.1e-25	76.1	TIGR00525	dihydroneopterin aldolase
2608288935	512	9	499	0.0e+00	536	TIGR01972	proton-translocating NADH-quinone oxidoreductase, chain M
2608288936	315	10	311	1.8e-81	259.3	TIGR00191	homoserine kinase
2608288937	345	4	335	2.8e-70	223.1	TIGR00749	glucokinase, proteobacterial type
2608288938	638	72	630	0.0e+00	703.7	TIGR00418	threonyl-tRNA synthetase
2608288939	338	3	333	1.9e-112	361.7	TIGR00233	tryptophanyl-tRNA synthetase
2608288947	194	14	180	1.1e-42	131.8	TIGR02227	signal peptidase I, bacterial type
2608288948	587	11	460	8.4e-107	344	TIGR00173	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
2608288949	285	18	281	8.8e-127	408	TIGR01929	naphthoate synthase (dihydroxynaphthoic acid synthetase)
2608288950	483	1	454	0.0e+00	531.1	TIGR02095	glycogen/starch synthase, ADP-glucose type
2608288951	457	33	456	1.2e-108	349.7	TIGR01143	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
