gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
2608288905	464	157	290	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2608288905	464	360	456	SUPERFAMILY	SSF48295	IPR010921	Trp repressor/replication initiator	GO:0043565
2608288905	464	366	435	SMART	SM00760	IPR013159	Chromosomal replication initiator, DnaA C-terminal	GO:0005524|GO:0006270|GO:0006275|GO:0043565
2608288905	464	416	435	ProSitePatterns	PS01008	IPR018312	Chromosomal replication control, initiator DnaA, conserved site	GO:0003677|GO:0003688|GO:0005524|GO:0006270|GO:0006275
2608288905	464	125	337	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2608288906	408	43	124	ProSiteProfiles	PS50404	IPR004045	Glutathione S-transferase, N-terminal	GO:0005515
2608288906	408	44	152	SUPERFAMILY	SSF52833	IPR012336	Thioredoxin-like fold	
2608288907	459	44	54	ProSitePatterns	PS00076	IPR012999	Pyridine nucleotide-disulphide oxidoreductase, class I, active site	GO:0016668|GO:0055114
2608288907	459	344	458	SUPERFAMILY	SSF55424	IPR016156	FAD/NAD-linked reductase, dimerisation domain	GO:0016491|GO:0050660|GO:0055114
2608288907	459	9	319	SUPERFAMILY	SSF51905			
2608288909	349	11	19	ProSitePatterns	PS00482	IPR002195	Dihydroorotase, conserved site	GO:0016812
2608288909	349	243	254	ProSitePatterns	PS00483	IPR002195	Dihydroorotase, conserved site	GO:0016812
2608288909	349	2	345	SUPERFAMILY	SSF51556			
2608288913	275	10	259	SUPERFAMILY	SSF51366	IPR011060	Ribulose-phosphate binding barrel	GO:0003824|GO:0008152
2608288913	275	56	69	ProSitePatterns	PS00167	IPR018204	Tryptophan synthase, alpha chain, active site	GO:0004834
2608288915	104	16	104	SUPERFAMILY	SSF54909	IPR011008	Dimeric alpha-beta barrel	
2608288918	307	142	217	SUPERFAMILY	SSF88659	IPR013324	RNA polymerase sigma factor, region 3/4	GO:0003677|GO:0003700|GO:0006352|GO:0006355|GO:0016987
2608288918	307	206	296	SUPERFAMILY	SSF88659	IPR013324	RNA polymerase sigma factor, region 3/4	GO:0003677|GO:0003700|GO:0006352|GO:0006355|GO:0016987
2608288918	307	4	139	SUPERFAMILY	SSF88946	IPR013325	RNA polymerase sigma factor, region 2	GO:0003677|GO:0003700|GO:0006352|GO:0006355|GO:0016987
2608288919	219	9	115	SUPERFAMILY	SSF141734			
2608288919	219	129	217	SUPERFAMILY	SSF101386			
2608288920	156	9	148	SUPERFAMILY	SSF55620			
2608288921	860	196	342	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2608288921	860	600	771	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2608288921	860	292	304	ProSitePatterns	PS00870	IPR018368	ClpA/B, conserved site 1	GO:0005524
2608288921	860	770	859	SMART	SM01086	IPR019489	Clp ATPase, C-terminal	
2608288921	860	156	547	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2608288921	860	549	854	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2608288921	860	634	652	ProSitePatterns	PS00871	IPR028299	ClpA/B, conserved site 2	
2608288921	860	7	132	SUPERFAMILY	SSF81923			
2608288922	116	25	116	SUPERFAMILY	SSF49503	IPR008972	Cupredoxin	
2608288922	116	95	109	ProSitePatterns	PS00196	IPR028871	Blue (type 1) copper protein, binding site	
2608288923	327	4	251	SUPERFAMILY	SSF51735			
2608288924	346	21	30	ProSitePatterns	PS00906	IPR000257	Uroporphyrinogen decarboxylase (URO-D)	GO:0004853|GO:0006779
2608288924	346	141	157	ProSitePatterns	PS00907	IPR000257	Uroporphyrinogen decarboxylase (URO-D)	GO:0004853|GO:0006779
2608288924	346	7	344	SUPERFAMILY	SSF51726			
2608288925	754	270	618	SMART	SM00642	IPR006589	Glycosyl hydrolase, family 13, subfamily, catalytic domain	GO:0003824|GO:0005975|GO:0043169
2608288925	754	20	115	SUPERFAMILY	SSF81296	IPR014756	Immunoglobulin E-set	
2608288925	754	136	194	SUPERFAMILY	SSF81296	IPR014756	Immunoglobulin E-set	
2608288925	754	180	641	SUPERFAMILY	SSF51445	IPR017853	Glycoside hydrolase, superfamily	
2608288925	754	647	751	SUPERFAMILY	SSF51011			
2608288926	526	349	516	SUPERFAMILY	SSF49785	IPR008979	Galactose-binding domain-like	
2608288926	526	282	519	SMART	SM00939	IPR013736	Peptidase S15/CocE/NonD, C-terminal	GO:0008239
2608288926	526	10	318	SUPERFAMILY	SSF53474			
2608288931	436	15	420	SUPERFAMILY	SSF53720	IPR016161	Aldehyde/histidinol dehydrogenase	GO:0008152|GO:0016491|GO:0055114
2608288931	436	328	350	ProSitePatterns	PS01223	IPR020593	Gamma-glutamyl phosphate reductase GPR, conserved site	GO:0004350|GO:0006561|GO:0055114
2608288932	120	5	115	SMART	SM00905	IPR006157	Dihydroneopterin aldolase/epimerase domain	GO:0004150|GO:0006760
2608288932	120	4	116	SUPERFAMILY	SSF55620			
2608288933	197	3	174	SUPERFAMILY	SSF53474			
2608288934	695	1	691	SUPERFAMILY	SSF55486			
2608288936	315	96	107	ProSitePatterns	PS00627	IPR006203	GHMP kinase, ATP-binding, conserved site	GO:0005524
2608288936	315	9	155	SUPERFAMILY	SSF54211	IPR020568	Ribosomal protein S5 domain 2-type fold	
2608288936	315	172	290	SUPERFAMILY	SSF55060			
2608288937	345	1	342	SUPERFAMILY	SSF53067			
2608288938	638	530	632	SUPERFAMILY	SSF52954	IPR004154	Anticodon-binding	
2608288938	638	242	533	ProSiteProfiles	PS50862	IPR006195	Aminoacyl-tRNA synthetase, class II	GO:0004812|GO:0006418
2608288938	638	3	61	SUPERFAMILY	SSF81271	IPR012676	TGS-like	
2608288938	638	169	218	SMART	SM00863	IPR012947	Threonyl/alanyl tRNA synthetase, SAD	GO:0005524|GO:0016876|GO:0043039
2608288938	638	63	240	SUPERFAMILY	SSF55186	IPR018163	Threonyl/alanyl tRNA synthetase, class II-like, putative editing domain	GO:0000166
2608288938	638	242	525	SUPERFAMILY	SSF55681			
2608288939	338	5	333	SUPERFAMILY	SSF52374			
2608288942	302	1	22	ProSiteProfiles	PS51257			
2608288942	302	32	301	SUPERFAMILY	SSF53807			
2608288943	254	11	245	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
2608288943	254	35	221	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2608288943	254	6	236	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2608288944	291	11	270	SUPERFAMILY	SSF81345			
2608288947	194	29	187	SUPERFAMILY	SSF51306	IPR015927	Peptidase S24/S26A/S26B/S26C	
2608288947	194	40	47	ProSitePatterns	PS00501	IPR019756	Peptidase S26A, signal peptidase I, serine active site	GO:0008236|GO:0016021
2608288947	194	97	109	ProSitePatterns	PS00760	IPR019757	Peptidase S26A, signal peptidase I, lysine active site	GO:0008236|GO:0016021
2608288947	194	144	157	ProSitePatterns	PS00761	IPR019758	Peptidase S26A, signal peptidase I, conserved site	GO:0008236|GO:0016021
2608288948	587	16	181	SUPERFAMILY	SSF52518			
2608288948	587	392	571	SUPERFAMILY	SSF52518			
2608288949	285	9	281	SUPERFAMILY	SSF52096			
2608288950	483	3	457	SUPERFAMILY	SSF53756			
2608288951	457	323	455	SUPERFAMILY	SSF53244	IPR004101	Mur ligase, C-terminal	GO:0005524|GO:0009058|GO:0016874
2608288951	457	107	312	SUPERFAMILY	SSF53623	IPR013221	Mur ligase, central	GO:0005524|GO:0009058
2608288951	457	25	103	SUPERFAMILY	SSF63418			
2608288952	449	250	432	SUPERFAMILY	SSF51161	IPR011004	Trimeric LpxA-like	
2608288952	449	2	249	SUPERFAMILY	SSF53448			
2608288953	301	49	270	SUPERFAMILY	SSF53335			
2608288954	436	6	434	SUPERFAMILY	SSF55205	IPR013792	RNA 3'-terminal phosphate cyclase/enolpyruvate transferase, alpha/beta	GO:0003824
2608288954	436	91	105	ProSitePatterns	PS00104	IPR023193	3-phosphoshikimate 1-carboxyvinyltransferase, conserved site	
2608288954	436	348	366	ProSitePatterns	PS00885	IPR023193	3-phosphoshikimate 1-carboxyvinyltransferase, conserved site	
2608288955	222	1	218	SUPERFAMILY	SSF142823	IPR005238	ComB-like	GO:0000287|GO:0050532
2608288956	270	148	168	ProSitePatterns	PS01227	IPR001110	Uncharacterised protein family UPF0012, conserved site	
2608288956	270	1	263	SUPERFAMILY	SSF56317	IPR003010	Carbon-nitrogen hydrolase	GO:0006807|GO:0016810
2608288956	270	1	269	ProSiteProfiles	PS50263	IPR003010	Carbon-nitrogen hydrolase	GO:0006807|GO:0016810
2608288957	361	242	354	SMART	SM00646	IPR002508	Cell wall hydrolase/autolysin, catalytic	GO:0008745|GO:0009253
2608288957	361	181	357	SUPERFAMILY	SSF53187			
2608288958	264	4	102	SUPERFAMILY	SSF53681	IPR001920	Asp/Glu racemase	GO:0008152|GO:0016855
2608288958	264	105	254	SUPERFAMILY	SSF53681	IPR001920	Asp/Glu racemase	GO:0008152|GO:0016855
2608288959	323	85	99	ProSitePatterns	PS00723	IPR000092	Polyprenyl synthetase	GO:0008299
2608288959	323	207	219	ProSitePatterns	PS00444	IPR000092	Polyprenyl synthetase	GO:0008299
2608288959	323	1	322	SUPERFAMILY	SSF48576	IPR008949	Terpenoid synthase	
2608288960	660	272	283	ProSitePatterns	PS00455	IPR020845	AMP-binding, conserved site	
2608288960	660	23	655	SUPERFAMILY	SSF56801			
2608288962	259	37	201	SMART	SM00479	IPR006055	Exonuclease	GO:0004527
2608288962	259	34	195	SUPERFAMILY	SSF53098	IPR012337	Ribonuclease H-like domain	GO:0003676
2608288964	426	323	397	SUPERFAMILY	SSF52954	IPR004154	Anticodon-binding	
2608288964	426	1	313	ProSiteProfiles	PS50862	IPR006195	Aminoacyl-tRNA synthetase, class II	GO:0004812|GO:0006418
2608288964	426	5	313	SUPERFAMILY	SSF55681			
2608288969	352	5	345	SUPERFAMILY	SSF161077			
2608288972	219	2	81	ProSiteProfiles	PS50404	IPR004045	Glutathione S-transferase, N-terminal	GO:0005515
2608288972	219	89	219	ProSiteProfiles	PS50405	IPR010987	Glutathione S-transferase, C-terminal-like	
2608288972	219	92	210	SUPERFAMILY	SSF47616	IPR010987	Glutathione S-transferase, C-terminal-like	
2608288972	219	5	72	SUPERFAMILY	SSF52833	IPR012336	Thioredoxin-like fold	
2608288973	180	8	79	SMART	SM00974	IPR018306	Bacteriophage T5, Orf172 DNA-binding	
2608288974	235	2	214	SUPERFAMILY	SSF51735			
2608288975	427	7	177	SUPERFAMILY	SSF51905			
2608288975	427	268	401	SUPERFAMILY	SSF51905			
2608288976	333	4	246	SUPERFAMILY	SSF51735			
2608288977	343	171	235	SUPERFAMILY	SSF50182	IPR010920	Like-Sm (LSM) domain	
2608288977	343	82	169	SUPERFAMILY	SSF82861	IPR011014	Mechanosensitive ion channel MscS, transmembrane-2	GO:0016020
2608288977	343	238	339	SUPERFAMILY	SSF82689	IPR011066	Mechanosensitive ion channel MscS, C-terminal	GO:0016020
2608288978	188	16	186	SUPERFAMILY	SSF52499	IPR000868	Isochorismatase-like	GO:0003824|GO:0008152
2608288979	150	18	148	SUPERFAMILY	SSF46785			
2608288980	310	7	306	SUPERFAMILY	SSF102114			
2608288984	442	200	214	ProSitePatterns	PS00868	IPR000277	Cys/Met metabolism, pyridoxal phosphate-dependent enzyme	GO:0030170
2608288984	442	5	438	SUPERFAMILY	SSF53383	IPR015424	Pyridoxal phosphate-dependent transferase	
2608288985	316	38	313	SUPERFAMILY	SSF52317			
2608288986	521	426	515	SUPERFAMILY	SSF52091	IPR002645	STAS domain	
2608288986	521	426	521	ProSiteProfiles	PS50801	IPR002645	STAS domain	
2608288987	420	1	181	ProSiteProfiles	PS51387	IPR016166	FAD-binding, type 2	GO:0003824|GO:0016614|GO:0050660|GO:0055114
2608288987	420	39	179	SUPERFAMILY	SSF56176	IPR016166	FAD-binding, type 2	GO:0003824|GO:0016614|GO:0050660|GO:0055114
2608288988	379	14	260	SUPERFAMILY	SSF53800			
2608288990	546	6	315	SUPERFAMILY	SSF51905			
2608288990	546	344	460	SUPERFAMILY	SSF54373			
2608288990	546	487	545	SUPERFAMILY	SSF51905			
2608288991	157	17	127	SUPERFAMILY	SSF141571			
2608288994	129	5	26	ProSitePatterns	PS00934	IPR018146	Glyoxalase I, conserved site	GO:0004462|GO:0046872
2608288994	129	1	128	SUPERFAMILY	SSF54593			
2608289001	244	30	195	SUPERFAMILY	SSF53335			
2608289007	777	11	367	SUPERFAMILY	SSF51998			
2608289007	777	402	769	SUPERFAMILY	SSF51998			
2608289008	231	36	221	SUPERFAMILY	SSF53335			
2608289009	545	65	80	ProSitePatterns	PS00301	IPR000795	Elongation factor, GTP-binding domain	GO:0003924|GO:0005525
2608289009	545	267	399	SUPERFAMILY	SSF50447	IPR009000	Translation protein, beta-barrel domain	
2608289009	545	399	473	SUPERFAMILY	SSF54980	IPR009022	Elongation factor G, III-V domain	
2608289009	545	17	281	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2608289011	300	5	251	SUPERFAMILY	SSF64397	IPR016153	Heat shock protein Hsp33, N-terminal	GO:0005737|GO:0006457|GO:0051082
2608289011	300	242	298	SUPERFAMILY	SSF118352	IPR016154	Heat shock protein Hsp33, C-terminal	GO:0005737|GO:0006457|GO:0051082
2608289012	215	2	214	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
2608289012	215	28	204	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2608289012	215	129	143	ProSitePatterns	PS00211	IPR017871	ABC transporter, conserved site	GO:0005524|GO:0016887
2608289012	215	5	206	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2608289014	257	6	56	SUPERFAMILY	SSF88697	IPR015947	PUA-like domain	
2608289014	257	83	249	SUPERFAMILY	SSF75217			
2608289016	214	5	205	SUPERFAMILY	SSF52266			
2608289017	500	62	253	ProSiteProfiles	PS50928	IPR000515	Binding-protein-dependent transport systems inner membrane component	GO:0005215|GO:0006810|GO:0016020
2608289017	500	60	244	SUPERFAMILY	SSF161098			
2608289017	500	310	487	SUPERFAMILY	SSF161098			
2608289018	246	6	242	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
2608289018	246	30	227	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2608289018	246	146	160	ProSitePatterns	PS00211	IPR017871	ABC transporter, conserved site	GO:0005524|GO:0016887
2608289018	246	3	235	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2608289019	297	51	198	SUPERFAMILY	SSF53850			
2608289020	392	238	251	ProSitePatterns	PS00105	IPR004838	Aminotransferases, class-I, pyridoxal-phosphate-binding site	GO:0003824|GO:0009058|GO:0030170
2608289020	392	6	390	SUPERFAMILY	SSF53383	IPR015424	Pyridoxal phosphate-dependent transferase	
2608289021	167	2	162	SUPERFAMILY	SSF52141	IPR005122	Uracil-DNA glycosylase-like	
2608289021	167	6	158	SMART	SM00986	IPR005122	Uracil-DNA glycosylase-like	
2608289021	167	6	158	SMART	SM00987			
2608289022	405	308	397	SUPERFAMILY	SSF56014			
2608289023	444	89	212	SUPERFAMILY	SSF50156	IPR001478	PDZ domain	GO:0005515
2608289023	444	108	176	ProSiteProfiles	PS50106	IPR001478	PDZ domain	GO:0005515
2608289023	444	118	191	SMART	SM00228	IPR001478	PDZ domain	GO:0005515
2608289023	444	191	382	SMART	SM00245	IPR005151	Interphotoreceptor retinol-binding	GO:0006508|GO:0008236
2608289023	444	37	138	SUPERFAMILY	SSF52096			
2608289023	444	213	386	SUPERFAMILY	SSF52096			
2608289024	304	2	302	SUPERFAMILY	SSF142754			
2608289025	257	3	45	SUPERFAMILY	SSF56300			
2608289025	257	110	244	SUPERFAMILY	SSF56300			
2608289027	396	9	381	SUPERFAMILY	SSF53335			
2608289028	363	7	361	SUPERFAMILY	SSF56796			
2608289029	396	315	380	SUPERFAMILY	SSF51246	IPR011054	Rudiment single hybrid motif	
2608289029	396	116	302	ProSiteProfiles	PS50975	IPR011761	ATP-grasp fold	GO:0005524|GO:0046872
2608289029	396	14	107	SUPERFAMILY	SSF52440	IPR016185	Pre-ATP-grasp domain	
2608289029	396	111	309	SUPERFAMILY	SSF56059			
2608289034	42	4	35	SUPERFAMILY	SSF103511	IPR023329	Chlorophyll a/b binding protein domain	
2608289036	46	11	41	SUPERFAMILY	SSF103511	IPR023329	Chlorophyll a/b binding protein domain	
2608289043	249	6	249	SMART	SM00532	IPR013840	NAD-dependent DNA ligase, N-terminal	GO:0003911
2608289043	249	5	248	SUPERFAMILY	SSF56091			
2608289050	84	28	77	SUPERFAMILY	SSF103511	IPR023329	Chlorophyll a/b binding protein domain	
2608289057	221	1	221	SUPERFAMILY	SSF51735			
2608289062	83	43	77	SUPERFAMILY	SSF57938	IPR001305	Heat shock protein DnaJ, cysteine-rich domain	GO:0031072|GO:0051082
2608289071	351	119	241	ProSiteProfiles	PS51201	IPR003148	Regulator of K+ conductance, N-terminal	GO:0006813
2608289071	351	253	342	ProSiteProfiles	PS51202	IPR006037	Regulator of K+ conductance, C-terminal	GO:0006813|GO:0008324
2608289071	351	13	137	SUPERFAMILY	SSF81324			
2608289071	351	115	259	SUPERFAMILY	SSF51735			
2608289071	351	269	344	SUPERFAMILY	SSF116726			
2608289072	123	10	122	SUPERFAMILY	SSF46626	IPR009056	Cytochrome c-like domain	GO:0009055|GO:0020037
2608289072	123	37	118	ProSiteProfiles	PS51007	IPR009056	Cytochrome c-like domain	GO:0009055|GO:0020037
2608289073	242	12	126	SMART	SM00448	IPR001789	Signal transduction response regulator, receiver domain	GO:0000156|GO:0000160
2608289073	242	13	130	ProSiteProfiles	PS50110	IPR001789	Signal transduction response regulator, receiver domain	GO:0000156|GO:0000160
2608289073	242	165	241	SMART	SM00862	IPR001867	Signal transduction response regulator, C-terminal	GO:0000156|GO:0000160|GO:0003677|GO:0006355
2608289073	242	7	142	SUPERFAMILY	SSF52172	IPR011006	CheY-like superfamily	
2608289073	242	141	241	SUPERFAMILY	SSF46894	IPR016032	Signal transduction response regulator, C-terminal effector	GO:0003677|GO:0006355
2608289074	384	213	380	SUPERFAMILY	SSF55874	IPR003594	Histidine kinase-like ATPase, ATP-binding domain	GO:0005524
2608289074	384	268	381	SMART	SM00387	IPR003594	Histidine kinase-like ATPase, ATP-binding domain	GO:0005524
2608289074	384	159	223	SMART	SM00388	IPR003661	Signal transduction histidine kinase EnvZ-like, dimerisation/phosphoacceptor domain	GO:0000155|GO:0007165|GO:0016020
2608289074	384	166	381	ProSiteProfiles	PS50109	IPR005467	Signal transduction histidine kinase, core	
